Customer ID,Name,Gender,Age,Email,Phone Number,Address,Customer Segment
4f5bce86-71ae-499e-8b9f-87df7c885a65,Elizabeth Hogan,Female,77,barbaralindsey@example.net,275-995-7808x244,"Port Sabrinaland, MH, 38605",VIP
779d6aaa-b2d3-46e4-b0e0-4b2c9694aa90,Gina Mullins,Female,23,nirwin@example.org,(583)920-9109x57438,"East Matthew, NV, 02143",First-time
3c8271a0-b2c5-4eff-9605-c67579a1ed82,Amber Alvarado,Female,67,kelly20@example.org,874.829.2495x02578,"Port Kellybury, NC, 69534",First-time
edf18c6a-83ce-4d48-aaa5-0c7643340012,Lauren Rivas,Male,72,marissa98@example.org,+1-873-216-1751x69267,"North Lauren, KY, 54895",VIP
45c6d84a-695c-461f-a037-7b6b286b6b87,Nicolas Heath,Male,30,gonzalezmicheal@example.com,(676)629-9576x8414,"Coreychester, AZ, 79773",Regular
6d4f5aee-e5e8-4676-b4e6-58f089f2bef8,Olivia Dodson,Female,55,jessica19@example.com,679-216-7337,"South Karenmouth, AS, 54976",First-time
e113af39-59bf-4aef-839a-b7962b2922e8,Keith Perez,Female,36,jamestaylor@example.com,001-831-377-8592x0964,"East Roberthaven, MA, 82350",Regular
046eda0d-b24c-4e1b-8205-73103341f7c3,Dr. Jose Larson,Female,52,hickmanlinda@example.org,994.859.5015,"East Lori, CO, 89965",Regular
62f8815d-f670-473e-acbd-1beb82a7ba11,Joseph Gill,Female,77,stephanie44@example.org,(869)884-1139x918,"Angelaland, TN, 06825",First-time
e276c807-c6c4-47a0-a53f-3f22e22ccc1a,Kimberly Collins,Female,51,lsmith@example.com,+1-836-556-8078x317,"Katelynmouth, ME, 89372",First-time
61ce44a4-9501-46de-8155-fb0c2143b166,Christian Blanchard,Male,38,gloverwilliam@example.com,(642)596-6691x752,"North Deborah, OR, 07099",First-time
27d77472-e7ef-4afb-8ee4-dea2dd1b1bb6,Andrew Short Jr.,Male,46,powellmariah@example.org,5093622834,"South Erin, AL, 20449",Regular
f52ba222-690d-4c87-ad84-c79eeadf32c5,Matthew Fields,Female,25,bhorton@example.org,001-225-582-7676x928,"North Lisafort, AR, 60275",First-time
e393279b-4ce2-4fb0-827f-3679e7170219,Casey Hernandez,Female,67,pandrews@example.com,523-224-6755,"Hendricksberg, DC, 04927",First-time
6714d7ee-747b-4562-aab8-659b0c0aa5c0,Mrs. Jessica Lucero,Female,19,johnsonmarcus@example.org,+1-376-896-8664x225,"New Timothy, MD, 77390",First-time
e4b78bf0-c1a1-4062-ba37-f31c7470485a,Angela Kline,Male,25,lyonsjoel@example.com,(732)845-5904x08731,"North Brookebury, DC, 73054",Regular
2cad6c04-7423-4e66-bdbc-f97b47529a54,April Walls,Female,18,wendy21@example.net,386.750.9626,"West Shannonview, OH, 45764",VIP
a32608f5-8e5d-4f5f-b79e-74c6dccc3d10,Donna Beck,Male,45,kayla46@example.net,+1-241-340-4105x0426,"Markmouth, IL, 24462",First-time
7abe67f8-a726-429c-b4b9-18ed7fe46eb8,Cheyenne Freeman,Male,19,shannondouglas@example.com,763-606-4120,"Diazhaven, NV, 21408",Regular
62d5ee91-2b89-4b6b-a3ee-bf45b48a6823,Kara Ramos,Male,76,trodriguez@example.com,001-905-493-0073,"Alyssaburgh, WI, 01686",VIP
